iteration,observerX1AngularPosition,observerX2AngularVelocity,realAngularPosition,motorAngularSpeed
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,-15.82,-0.5235987755982988
4,-1.103810424907133,0.019479007498361168,-15.82,-0.5235987755982988
5,-2.0935766346841573,0.043231330242687036,-15.99,-0.5235987755982988
6,-3.0369905685491823,0.07169765135003692,-15.99,-0.5235987755982988
7,-3.924948791092411,0.10436785112024466,-15.99,-0.41887902047863906
8,-4.757623910850865,0.14077704914921066,-16.17,-0.41887902047863906
9,-5.512513438922844,0.17885676164397368,-16.34,-0.41887902047863906
10,-7.414195489259054,0.2872194971785178,-16.52,-0.41887902047863906
11,-8.3842956671562,0.36294168691540524,-16.87,-0.5235987755982988
12,-9.801925270568642,0.48880303295722227,-17.05,-0.5235987755982988
13,-10.370268528641574,0.5517739451626072,-17.57,-0.7330382858376184
14,-10.861542166167537,0.6080690837189415,-17.75,-0.7330382858376184
15,-11.295651791582548,0.6609201677310634,-17.92,-0.7330382858376184
16,-11.878199215367665,0.7356298426418972,-18.1,-0.7330382858376184
17,-12.698039269869689,0.8491914304701466,-18.28,-0.7330382858376184
18,-13.126137601227295,0.9162598384406813,-18.8,-0.7330382858376184
19,-13.96241308030621,1.0466802852372117,-18.8,-0.7330382858376184
20,-14.438305496314285,1.1341936419111762,-19.33,-0.7330382858376184
21,-14.757299219512515,1.1925646224572153,-19.33,-0.7330382858376184
22,-15.069856330148381,1.2536582491492672,-19.51,-0.6283185307179586
23,-15.370022683099226,1.3140761297365255,-19.51,-0.5235987755982988
24,-15.652555991594697,1.3748594838972914,-19.51,-0.41887902047863906
25,-15.905825233394976,1.4330618147034597,-19.68,-0.41887902047863906
26,-16.377106291181597,1.5433949753378862,-19.68,-0.41887902047863906
27,-16.702169148874535,1.6294344863628345,-19.68,-0.41887902047863906
28,-17.077343228535433,1.738376952772411,-19.68,-0.41887902047863906
29,-17.34796694815929,1.8268876934569171,-19.68,-0.41887902047863906
30,-17.50088649323257,1.8819020513231015,-19.68,-0.3141592653589793
31,-17.647319402701736,1.93773276058103,-19.68,-0.20943951023931953
32,-17.78272582928192,1.992519999670942,-19.68,-0.20943951023931953
33,-17.89363290970444,2.040112671573479,-19.68,-0.20943951023931953
34,-18.002716031228253,2.0893881382602704,-19.68,-0.20943951023931953
35,-18.212792966352954,2.189531061665924,-19.68,-0.20943951023931953
36,-18.3197570419356,2.2467998097044273,-19.68,-0.10471975511965977
37,-18.489938601743273,2.344101863816356,-19.68,-0.10471975511965977
38,-18.60721791345173,2.419595972471599,-19.68,-0.10471975511965977
39,-18.66889112384524,2.4631852566984036,-19.68,-0.10471975511965977
40,-18.72904841346034,2.5080599730785806,-19.68,-0.10471975511965977
